Sample in Buffer,Sample in Window,TRIGGER,ad_data_IBUF[7:0]
913,913,0,df
914,914,0,df
915,915,0,df
916,916,0,df
917,917,0,df
918,918,0,df
919,919,0,df
920,920,0,df
921,921,0,df
922,922,0,df
923,923,0,df
924,924,0,df
925,925,0,df
926,926,0,df
927,927,0,df
928,928,0,df
929,929,0,df
930,930,0,df
931,931,0,df
932,932,0,df
933,933,0,df
934,934,0,df
935,935,0,df
936,936,0,df
937,937,0,df
938,938,0,df
939,939,0,df
940,940,0,df
941,941,0,df
942,942,0,df
943,943,0,df
944,944,0,df
945,945,0,df
946,946,0,df
947,947,0,df
948,948,0,df
949,949,0,df
950,950,0,df
951,951,0,df
952,952,0,df
953,953,0,df
954,954,0,df
955,955,0,df
956,956,0,df
957,957,0,df
958,958,0,df
959,959,0,df
960,960,0,df
961,961,0,df
962,962,0,df
963,963,0,df
964,964,0,df
965,965,0,df
966,966,0,df
967,967,0,df
968,968,0,df
969,969,0,df
970,970,0,df
971,971,0,df
972,972,0,df
973,973,0,df
974,974,0,df
975,975,0,df
976,976,0,df
977,977,0,df
978,978,0,df
979,979,0,df
980,980,0,df
981,981,0,df
982,982,0,df
983,983,0,df
984,984,0,df
985,985,0,df
986,986,0,df
987,987,0,df
988,988,0,df
989,989,0,df
990,990,0,df
991,991,0,df
992,992,0,df
993,993,0,df
994,994,0,df
995,995,0,df
996,996,0,df
997,997,0,df
998,998,0,df
999,999,0,df
1000,1000,0,df
1001,1001,0,df
1002,1002,0,df
1003,1003,0,df
1004,1004,0,df
1005,1005,0,df
1006,1006,0,df
1007,1007,0,df
1008,1008,0,df
1009,1009,0,df
1010,1010,0,df
1011,1011,0,df
1012,1012,0,df
1013,1013,0,df
1014,1014,0,df
1015,1015,0,df
1016,1016,0,df
1017,1017,0,df
1018,1018,0,df
1019,1019,0,df
1020,1020,0,df
1021,1021,0,df
1022,1022,0,df
1023,1023,0,df
